breakthrough_date,breakthrough_price,broke_ma_count,broke_p0_count,final_gain,held_ma120,held_ma120_days,held_p0,held_p0_days,ma120_at_breakthrough,max_gain,min_deviation_ma,min_deviation_p0,success,ts_code
20240925,18.78,0,0,6.82,True,10,True,10,18.6,25.4,0.0,0.0,False,sh601877
20250804,46.9,0,0,9.3,True,10,True,10,46.89,9.3,0.0,0.0,False,sh688080
20251014,18.23,3,2,-0.66,False,7,False,8,18.22,2.3,-2.1,-1.48,False,sh601838
20240930,6.58,0,8,1.52,True,10,False,2,6.14,6.38,0.0,-3.65,False,sh603803
20240826,7.76,0,0,7.09,True,10,True,10,7.68,8.25,0.0,0.0,False,sh600415
20260401,70.43,3,3,5.59,False,7,False,7,70.43,6.94,-5.09,-4.87,False,sh688233
20260325,20.3,2,3,1.77,False,8,False,7,20.22,4.24,-2.37,-2.02,False,sh603282
20240926,6.37,0,0,11.93,True,10,True,10,6.29,26.06,0.0,0.0,False,sh603528
20240920,2.0,0,0,49.0,True,10,True,10,1.99,49.0,0.0,0.0,True,sh600239
20240819,24.15,8,9,0.91,False,2,False,1,23.37,0.91,-8.42,-11.39,False,sh603186
20241008,14.09,10,10,-12.64,False,0,False,0,13.98,0.0,-15.31,-17.46,False,sh603566
20241008,17.14,10,10,-11.26,False,0,False,0,15.97,0.0,-6.62,-14.0,False,sh601808
20250905,42.27,7,7,-0.92,False,3,False,3,41.17,1.28,-3.19,-4.31,False,sh688136
20240812,6.13,0,0,3.75,True,3,True,3,5.98,3.75,0.0,0.0,False,sh600213
20240926,4.22,0,0,7.11,True,10,True,10,4.19,20.38,0.0,0.0,False,sh603001
20251124,58.91,5,5,4.02,False,5,False,5,58.91,4.02,-4.03,-2.72,False,sh688155
20240731,3.46,8,8,-1.44,False,2,False,2,3.44,0.29,-1.94,-2.31,False,sh600120
20240806,11.36,7,8,0.18,False,3,False,2,11.24,1.41,-7.23,-7.04,False,sh600773
20251218,18.23,9,10,-2.41,False,1,False,0,17.84,0.0,-1.98,-2.85,False,sh601059
20250630,41.25,5,8,0.58,False,5,False,2,40.9,0.58,-2.15,-3.2,False,sh688261
20240731,9.12,1,4,3.18,False,9,False,6,8.57,8.67,-2.24,-7.46,False,sh600894
20250714,31.89,6,10,-7.28,False,4,False,0,30.8,0.0,-3.71,-7.28,False,sh603063
20240926,7440.93,0,0,6.77,True,10,True,10,7248.23,19.67,0.0,0.0,False,sh000148
20240731,10.2,0,0,3.53,True,10,True,10,10.1,5.78,0.0,0.0,False,sh603998
20240925,7.74,0,0,7.36,True,10,True,10,7.71,28.02,0.0,0.0,False,sh600827
20240826,7.74,9,10,-18.48,False,1,False,0,7.18,0.0,-9.98,-18.48,False,sh603118
20250813,11.42,0,10,-4.9,True,10,False,0,10.39,0.0,0.0,-4.99,False,sh688548
20240927,9.59,0,0,9.49,True,10,True,10,9.49,15.12,0.0,0.0,False,sh600200
20240731,9.22,0,0,4.77,True,10,True,10,9.07,4.77,0.0,0.0,False,sh600573
20260113,27.55,7,7,-0.76,False,3,False,3,27.29,3.45,-2.6,-2.83,False,sh603683
20240731,3.6,3,8,-0.83,False,7,False,2,3.53,0.83,-0.6,-1.94,False,sh601216
20250729,73.0,0,5,2.23,True,10,False,5,70.95,2.23,0.0,-2.42,False,sh688798
20240812,36.06,2,2,2.91,False,8,False,8,35.87,3.41,-0.12,-0.61,False,sh601088
20240912,10.95,2,2,21.6,False,8,False,8,10.92,21.6,-0.94,-1.52,True,sh603881
20251015,52.97,0,0,16.46,True,10,True,10,50.37,16.46,0.0,0.0,False,sh688336
20240927,3.61,0,0,7.2,True,10,True,10,3.49,18.56,0.0,0.0,False,sh600624
20250710,8.1,0,0,5.68,True,10,True,10,8.05,5.68,0.0,0.0,False,sh603387
20250924,6.12,0,5,0.0,True,10,False,5,5.96,1.96,0.0,-1.96,False,sh603880
20240731,5.24,9,9,-5.72,False,1,False,1,5.22,0.57,-6.24,-5.72,False,sh600497
20250717,17.25,0,0,4.0,True,10,True,10,17.23,5.91,0.0,0.0,False,sh688378
20251126,24.53,0,1,1.22,True,10,False,9,22.37,5.42,0.0,-2.04,False,sh601089
20240923,18.4,2,3,2.39,False,8,False,7,17.88,8.75,-1.11,-3.42,False,sh600988
20240930,14.47,5,8,-5.87,False,5,False,2,13.75,4.7,-3.61,-9.19,False,sh600072
20260105,35.19,9,10,-8.53,False,1,False,0,33.51,0.0,-5.76,-9.97,False,sh603382
20250703,65.99,5,10,-3.68,False,5,False,0,60.42,0.0,-4.63,-10.62,False,sh688333
20240926,3.42,1,2,-3.51,False,9,False,8,3.33,13.47,-1.15,-3.51,False,sh600515
20240731,13.44,9,10,-6.4,False,1,False,0,13.18,0.0,-5.71,-6.4,False,sh600346
20240930,12.97,9,10,-11.72,False,1,False,0,12.65,0.0,-10.04,-13.26,False,sh601717
20260324,26.24,0,0,9.49,True,10,True,10,25.24,13.0,0.0,0.0,False,sh688350
20250811,18.22,0,2,4.83,True,10,False,8,17.8,4.83,0.0,-1.87,False,sh688299
20240930,88.81,0,5,-0.05,True,10,False,5,81.95,8.65,0.0,-1.82,False,sh601127
20240926,6.15,0,0,6.34,True,10,True,10,5.99,17.57,0.0,0.0,False,sh600325
20250624,27.04,1,2,0.92,False,9,False,8,26.76,2.66,-0.13,-1.18,False,sh688819
20240731,22.99,0,0,0.13,True,10,True,10,22.76,2.44,0.0,0.0,False,sh600196
20241008,21.47,10,10,-8.85,False,0,False,0,21.21,0.0,-12.77,-14.9,False,sh603960
20240807,5.04,0,1,3.17,True,10,False,9,4.99,5.36,0.0,-0.4,False,sh601169
20250702,1.77,0,0,1.69,True,10,True,10,1.73,9.04,0.0,0.0,False,sh601588
20240830,0.27,1,5,-0.37,False,9,False,5,0.26,11.19,-1.85,-4.1,False,sh900957
20240926,3.87,0,0,1.81,True,10,True,10,3.83,15.0,0.0,0.0,False,sh600738
20240930,15.28,1,9,-2.36,False,9,False,1,14.3,4.06,-1.05,-8.05,False,sh603029
20260105,3.5,6,3,-1.43,False,4,False,7,3.5,1.43,-1.78,-1.43,False,sh601326
20240930,2.7,9,9,-9.26,False,1,False,1,2.65,3.33,-7.28,-9.26,False,sh600396
20240920,9.63,0,0,7.06,True,10,True,10,9.39,23.37,0.0,0.0,False,sh600776
20250624,54.16,0,0,3.62,True,10,True,10,52.85,7.51,0.0,0.0,False,sh603486
20240814,32.38,0,3,0.09,True,10,False,7,32.05,2.35,0.0,-0.65,False,sh600211
20240927,3.66,0,0,6.56,True,10,True,10,3.6,17.76,0.0,0.0,False,sh601789
20250624,14.98,6,6,-2.34,False,4,False,4,14.96,1.8,-4.24,-4.34,False,sh688207
20251013,14.03,0,2,6.2,True,10,False,8,13.72,6.56,0.0,-0.93,False,sh603836
20240927,1841.66,0,0,2.18,True,10,True,10,1808.5,10.89,0.0,0.0,False,sh000160
20240930,5.48,0,9,-4.56,True,10,False,1,5.0,5.47,0.0,-8.94,False,sh603330
20240819,6.66,9,10,-7.66,False,1,False,0,6.45,0.0,-9.51,-12.76,False,sh600421
20250725,28.48,0,7,-0.7,True,10,False,3,28.02,2.67,0.0,-1.44,False,sh688380
20241107,6.98,7,10,-5.87,False,3,False,0,6.87,0.0,-5.84,-9.17,False,sh600975
20240926,2.54,0,0,2.75,True,10,True,10,2.49,14.15,0.0,0.0,False,sh600108
20250722,21.8,0,3,-0.18,True,10,False,7,21.5,3.26,0.0,-1.06,False,sh688249
20240918,5.33,0,0,9.38,True,10,True,10,5.27,21.76,0.0,0.0,False,sh600692
20240927,10.91,1,3,0.46,False,9,False,7,10.8,11.64,-0.01,-1.38,False,sh603587
20240925,2.74,0,0,11.68,True,10,True,10,2.7,31.39,0.0,0.0,False,sh600816
20251020,23.99,0,0,3.04,True,10,True,10,23.45,7.09,0.0,0.0,False,sh688199
20250723,48.8,0,0,31.45,True,10,True,10,47.19,37.27,0.0,0.0,True,sh688603
20251103,8.08,2,1,-0.5,False,8,False,9,8.07,1.11,-0.79,-0.5,False,sh601921
20240926,4.34,0,4,-1.61,True,10,False,6,4.15,11.75,0.0,-1.61,False,sh600858
20240821,3.54,10,10,-10.45,False,0,False,0,3.47,0.0,-8.03,-10.45,False,sh600676
20251216,6.14,8,10,-3.42,False,2,False,0,6.05,0.0,-2.24,-3.42,False,sh600874
20250721,39.64,6,7,1.56,False,4,False,3,39.31,1.56,-2.43,-2.7,False,sh603082
20240927,11.96,0,0,5.35,True,10,True,10,11.69,16.14,0.0,0.0,False,sh600372
20240927,48.44,9,9,-12.8,False,1,False,1,47.39,2.42,-10.74,-13.98,False,sh603979
20240802,8.75,10,10,-13.14,False,0,False,0,8.33,0.0,-9.5,-13.14,False,sh600615
20250702,8.35,0,2,0.48,True,10,False,8,8.24,2.16,0.0,-1.32,False,sh603105
20240731,15.94,10,10,-12.42,False,0,False,0,15.93,0.0,-13.14,-12.42,False,sh600875
20251215,18.68,7,9,-2.3,False,3,False,1,18.52,0.0,-2.36,-2.3,False,sh603231
20250806,69.49,0,6,3.83,True,10,False,4,66.64,3.83,0.0,-3.74,False,sh603662
20240731,9.3,10,10,-10.22,False,0,False,0,9.1,0.0,-8.99,-10.22,False,sh600592
20250624,5.72,0,0,5.59,True,10,True,10,5.67,5.59,0.0,0.0,False,sh600173
20240924,1.9,0,0,38.95,True,10,True,10,1.88,53.68,0.0,0.0,True,sh600208
20250717,14.01,8,10,-5.07,False,2,False,0,13.84,0.0,-2.89,-5.07,False,sh603305
20240927,6.94,0,0,2.59,True,10,True,10,6.9,12.68,0.0,0.0,False,sh600888
20250725,28.84,0,0,2.64,True,10,True,10,28.74,6.07,0.0,0.0,False,sh688107
20240926,7.15,0,0,9.23,True,10,True,10,7.13,13.99,0.0,0.0,False,sh600246
20240801,13.98,9,9,-8.58,False,1,False,1,13.97,0.93,-11.51,-9.58,False,sh603663
20240730,6.19,0,0,7.92,True,10,True,10,5.81,29.24,0.0,0.0,False,sh600721
20240925,1.88,0,0,11.17,True,10,True,10,1.88,25.0,0.0,0.0,False,sh603030
20240927,2.3,0,0,3.91,True,10,True,10,2.26,18.7,0.0,0.0,False,sh600172
20251014,5.7,2,3,6.49,False,8,False,7,5.67,6.49,-0.45,-0.53,False,sh601658
20240927,3454.09,0,0,14.39,True,10,True,10,3408.37,27.13,0.0,0.0,False,sh000137
20250826,56.77,0,1,10.22,True,10,False,9,55.34,12.74,0.0,-1.88,False,sh603786
20240920,12.98,0,1,11.17,True,10,False,9,12.74,27.04,0.0,-0.23,False,sh600476
20250924,21.39,0,0,4.72,True,10,True,10,21.22,9.12,0.0,0.0,False,sh688737
20250624,4.52,0,0,1.55,True,10,True,10,4.44,3.32,0.0,0.0,False,sh601068
20240926,10.03,0,0,13.26,True,10,True,10,9.78,16.25,0.0,0.0,False,sh603600
20240927,18.72,0,0,2.94,True,10,True,10,17.98,19.34,0.0,0.0,False,sh600111
20240927,20.76,0,3,-1.59,True,10,False,7,19.86,17.44,0.0,-3.52,False,sh600438
20251020,11.2,3,3,2.23,False,7,False,7,11.07,2.86,-1.6,-1.87,False,sh603535
20250624,17.72,0,6,0.28,True,10,False,4,17.54,0.9,0.0,-1.07,False,sh688584
20241021,8.36,5,5,8.37,False,5,False,5,8.29,11.0,-3.71,-4.67,False,sh603018
20250627,26.15,0,2,2.1,True,10,False,8,25.28,5.39,0.0,-0.88,False,sh603530
20251229,4.68,9,9,-5.77,False,1,False,1,4.65,0.43,-6.66,-5.77,False,sh603363
20250916,22.08,10,10,-12.45,False,0,False,0,21.68,0.0,-11.14,-12.45,False,sh603057
20250911,3.97,10,10,-3.53,False,0,False,0,3.96,0.0,-3.87,-4.03,False,sh600968
20240801,13.35,3,7,3.37,False,7,False,3,13.14,3.37,-1.61,-2.32,False,sh601811
20250625,26.14,6,5,-0.77,False,4,False,5,26.12,2.1,-1.93,-1.87,False,sh688161
20260105,24.91,0,2,4.26,True,10,False,8,23.81,9.84,0.0,-0.76,False,sh688236
20240731,6.49,0,2,6.01,True,10,False,8,6.34,6.01,0.0,-0.46,False,sh600177
20240731,3.66,8,10,-3.17,False,2,False,0,3.56,0.0,-1.66,-4.27,False,sh601375
20240926,3.71,3,5,-1.35,False,7,False,5,3.68,8.89,-1.2,-2.16,False,sh600724
20240927,1569.08,1,1,1.48,False,9,False,9,1568.36,5.49,-1.96,-1.97,False,sh000151
20240927,3.2,0,0,7.81,True,10,True,10,3.2,13.75,0.0,0.0,False,sh601188
20250709,24.34,6,5,-1.85,False,4,False,5,24.32,4.44,-4.0,-3.86,False,sh603629
20250717,76.66,4,6,19.14,False,6,False,4,76.26,19.14,-1.08,-1.58,False,sh688278
20240930,17.4,6,9,-5.06,False,4,False,1,15.88,6.55,-4.86,-13.85,False,sh603806
20240930,14.62,6,9,-4.72,False,4,False,1,13.72,5.81,-4.48,-10.87,False,sh603628
20240816,7.74,2,2,-7.23,False,8,False,8,7.72,3.1,-8.06,-7.23,False,sh601872
20250627,15.77,0,0,4.6,True,10,True,10,15.73,4.7,0.0,0.0,False,sh688085
20240926,17.76,0,0,1.46,True,10,True,10,16.95,24.38,0.0,0.0,False,sh603286
20240927,23.27,1,4,6.83,False,9,False,6,21.87,10.62,-0.24,-6.96,False,sh601595
20240927,4.07,0,0,2.7,True,10,True,10,4.05,13.02,0.0,0.0,False,sh603086
20240920,4.91,0,0,12.42,True,10,True,10,4.87,26.88,0.0,0.0,False,sh600797
20240927,5004.2,0,0,9.68,True,10,True,10,4805.88,19.34,0.0,0.0,False,sh000856
20251209,54.28,7,8,-3.41,False,3,False,2,52.87,5.01,-4.55,-6.69,False,sh688302
20260226,55.0,9,10,-11.45,False,1,False,0,53.66,0.0,-9.35,-12.2,False,sh688665
20250625,15.87,0,1,2.77,True,10,False,9,15.77,8.13,0.0,-0.5,False,sh603933
20250624,36.18,7,6,-4.59,False,3,False,4,36.06,2.24,-7.87,-6.08,False,sh603583
20250804,15.55,0,0,20.9,True,10,True,10,15.4,20.9,0.0,0.0,True,sh603219
20250716,25.81,4,9,-10.19,False,6,False,1,23.62,0.81,-3.88,-10.19,False,sh603950
20250624,3.65,2,5,0.0,False,8,False,5,3.64,1.37,-0.71,-2.19,False,sh688055
20240731,0.53,4,10,-0.19,False,6,False,0,0.52,0.0,-1.5,-3.04,False,sh900928
20240808,8.27,10,10,-14.03,False,0,False,0,8.25,0.0,-13.06,-14.03,False,sh601116
20251201,59.63,10,10,-3.42,False,0,False,0,59.11,0.0,-5.03,-5.15,False,sh603257
20240815,4.92,7,9,-6.3,False,3,False,1,4.9,0.61,-5.07,-6.3,False,sh601158
20240807,7.61,2,3,2.5,False,8,False,7,7.56,5.39,-0.88,-1.45,False,sh600642
20250320,6.66,2,4,2.55,False,8,False,6,6.6,2.55,-1.49,-2.1,False,sh600011
20250630,41.39,0,0,8.87,True,10,True,10,40.18,13.82,0.0,0.0,False,sh688503
20240906,5.28,8,9,-2.65,False,2,False,1,5.05,5.3,-6.35,-11.55,False,sh600576
20251114,42.92,10,10,-4.17,False,0,False,0,42.21,0.0,-7.87,-8.67,False,sh688484
20240926,8.36,0,0,4.07,True,10,True,10,8.32,13.64,0.0,0.0,False,sh600822
20240930,2590.19,7,9,-6.77,False,3,False,1,2459.54,1.04,-2.5,-7.45,False,sh000079
20240806,7.54,5,8,-7.96,False,5,False,2,7.37,0.53,-6.21,-7.96,False,sh603229
20241018,4.06,0,4,17.0,True,10,False,6,3.81,21.67,0.0,-4.93,False,sh600538
20250624,29.22,0,1,2.45,True,10,False,9,28.8,2.45,0.0,-0.53,False,sh603205
20240909,4.22,10,10,-6.64,False,0,False,0,4.15,0.0,-7.95,-12.09,False,sh600841
20241008,7.0,10,10,-7.71,False,0,False,0,6.81,0.0,-7.22,-10.43,False,sh603903
20240926,3.38,0,0,4.14,True,10,True,10,3.31,15.08,0.0,0.0,False,sh600308
20251015,38.43,2,2,1.38,False,8,False,8,37.78,1.46,-1.9,-2.39,False,sh688180
20240830,1.4,6,10,-6.3,False,4,False,0,1.37,0.0,-3.91,-6.3,False,sh900934
20240731,31.44,7,10,-9.16,False,3,False,0,30.72,0.0,-7.98,-9.76,False,sh603383
20251201,54.83,4,9,-6.88,False,6,False,1,52.56,0.33,-4.49,-6.88,False,sh688049
20250924,14.15,0,0,0.71,True,10,True,10,13.96,6.43,0.0,0.0,False,sh688560
20240731,13.48,7,9,-2.8,False,3,False,1,13.26,1.93,-3.53,-5.17,False,sh600621
20250707,15.75,9,9,2.41,False,1,False,1,15.74,2.41,-2.55,-2.73,False,sh600989
20250902,9.03,7,10,-2.32,False,3,False,0,8.93,0.0,-1.85,-2.44,False,sh601939
20250729,15.72,2,5,4.71,False,8,False,5,15.35,4.71,-1.1,-3.37,False,sh688007
20241025,2.85,0,0,34.39,True,10,True,10,2.73,34.39,0.0,0.0,True,sh603879
20240905,1.64,1,5,-3.12,False,9,False,5,1.61,2.69,-0.11,-3.12,False,sh600715
20240904,10.09,1,5,4.16,False,9,False,5,9.67,6.94,-1.29,-5.95,False,sh600272
20260306,16.02,3,8,-13.17,False,7,False,2,15.39,1.31,-10.37,-13.17,False,sh603182
20250624,22.31,0,0,10.89,True,10,True,10,21.75,10.89,0.0,0.0,False,sh688133
20240927,7.61,0,0,4.73,True,10,True,10,7.4,11.43,0.0,0.0,False,sh601369
20250924,19.25,1,8,-0.26,False,9,False,2,19.01,0.78,-0.98,-2.08,False,sh688479
20250114,9.66,3,8,-1.45,False,7,False,2,9.5,0.31,-1.35,-1.45,False,sh600958
20240930,6.11,3,9,-5.73,False,7,False,1,5.75,2.13,-1.99,-7.36,False,sh600125
20240927,8.14,2,5,-0.7,False,8,False,5,7.88,12.66,-0.85,-2.37,False,sh603067
20250929,24.9,4,5,1.04,False,6,False,5,24.47,3.49,-1.97,-2.41,False,sh688150
20250725,75.0,8,10,-5.76,False,2,False,0,74.7,0.0,-4.07,-5.76,False,sh688099
20240927,19.77,8,8,-8.56,False,2,False,2,19.72,5.53,-10.64,-11.88,False,sh603505
20240731,2.9,9,10,-2.07,False,1,False,0,2.88,0.0,-3.11,-3.45,False,sh601016
20250708,11.26,0,1,2.13,True,10,False,9,11.14,2.31,0.0,-0.8,False,sh688432
20240926,5.9,0,0,5.59,True,10,True,10,5.86,17.28,0.0,0.0,False,sh603318
20240924,13.66,1,1,1.17,False,9,False,9,13.61,13.84,-0.14,-0.51,False,sh601058
20251218,17.25,0,1,3.3,True,10,False,9,16.86,3.3,0.0,-0.12,False,sh688681
20240927,5.33,0,0,3.0,True,10,True,10,5.23,14.45,0.0,0.0,False,sh600409
20250710,8.64,5,5,2.31,False,5,False,5,8.58,4.05,-0.81,-1.39,False,sh603357
20251128,25.63,7,9,-3.04,False,3,False,1,25.32,0.2,-3.4,-4.56,False,sh688178
20240830,5.12,9,10,-12.11,False,1,False,0,5.0,0.0,-10.05,-12.11,False,sh601668
20240930,11.05,8,10,-8.33,False,2,False,0,10.54,0.0,-6.0,-10.77,False,sh600970
20240808,10.5,10,10,-9.14,False,0,False,0,10.48,0.0,-8.82,-9.14,False,sh600697
20240731,7.66,8,10,-3.26,False,2,False,0,7.52,0.0,-2.47,-4.05,False,sh600710
20250624,24.74,2,2,3.56,False,8,False,8,24.64,3.56,-0.89,-0.44,False,sh688598
20240815,6.79,7,7,7.36,False,3,False,3,6.77,7.36,-3.12,-3.68,False,sh600143
20260107,65.49,2,2,-3.11,False,8,False,8,62.92,10.09,-0.97,-3.53,False,sh688202
20260323,31.11,2,2,-5.43,False,8,False,8,30.93,4.11,-4.12,-5.43,False,sh603529
20250711,35.0,0,0,5.91,True,10,True,10,34.92,7.4,0.0,0.0,False,sh688651
20240926,4.33,0,0,3.23,True,10,True,10,3.93,15.02,0.0,0.0,False,sh600510
20240919,8.26,0,2,15.25,True,10,False,8,7.93,26.51,0.0,-2.78,False,sh600343
20240730,6.0,3,7,-6.83,False,7,False,3,5.61,3.33,-3.33,-6.83,False,sh603766
20251125,10.27,1,3,2.34,False,9,False,7,10.05,3.02,-0.23,-1.36,False,sh688565
20250815,18.95,3,3,-0.84,False,7,False,7,18.9,4.33,-2.61,-0.84,False,sh603949
20250630,59.63,1,2,3.69,False,9,False,8,59.09,3.96,-0.12,-1.07,False,sh688185
20240930,6.58,1,2,13.78,False,9,False,8,6.28,29.92,-0.61,-5.32,False,sh600039
20240927,2.55,8,8,-3.14,False,2,False,2,2.55,10.2,-3.99,-5.1,False,sh600844
20240927,8.22,0,0,29.32,True,10,True,10,8.07,29.32,0.0,0.0,True,sh603906
20240927,44.08,2,3,5.22,False,8,False,7,42.98,17.92,-1.56,-4.67,False,sh603728
20250117,0.11,9,10,-12.5,False,1,False,0,0.11,0.0,-10.11,-13.39,False,sh900952
20241101,3.52,0,1,1.42,True,10,False,9,3.33,30.68,0.0,-1.99,False,sh600193
20240730,4.22,8,8,-9.0,False,2,False,2,4.08,3.08,-8.99,-11.37,False,sh600609
20240926,3.6,0,0,3.89,True,10,True,10,3.48,16.97,0.0,0.0,False,sh600320
20260108,34.5,0,0,9.07,True,10,True,10,34.16,9.07,0.0,0.0,False,sh688061
20250625,17.4,2,2,1.2,False,8,False,8,17.33,2.17,-1.08,-1.51,False,sh688355
20240816,3.77,9,9,-1.06,False,1,False,1,3.76,0.8,-4.65,-5.31,False,sh600869
20240930,2.95,7,9,-6.1,False,3,False,1,2.91,2.03,-2.93,-9.83,False,sh600387
20240927,7.93,3,4,-1.01,False,7,False,6,7.86,13.87,-3.01,-4.04,False,sh600596
